Date,UpTo
2017-01-01,792
2017-02-01,786
2017-03-01,778
2017-04-01,778
2017-05-01,765
2017-06-01,773
2017-07-01,756
2017-08-01,762
2017-09-01,785
2017-10-01,748
2017-11-01,738
2017-12-01,733
2018-01-01,692
2018-02-01,695
2018-03-01,712
2018-04-01,701
2018-05-01,708
2018-06-01,706
2018-07-01,700
2018-08-01,736
2018-09-01,745
2018-10-01,705
2018-11-01,704
2018-12-01,710
2019-01-01,697
2019-02-01,713
2019-03-01,712
2019-04-01,714
2019-05-01,737
2019-06-01,734
2019-07-01,740
